Procure WholeSale Price,Qty Interval,Procure Category 1,Procure Category 2,Procure Category 3,Procure Category 4,Procure Category 5,Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
$15.00,12,Home Fragrance / Candles,Please Select,Please Select,,,big-sir-candle,Big Sir Candle,"<p>Rich, woody inlands over a misty coastline encapsulate the magic of Big Sur. This distinguished, smoky scent evokes fine leather and smooth tobacco with a dash of freshly cut bay leaves.</p>
<p>Notes of Tobacco, Leather &amp; Bay Leaves</p>",MADE by DWC,,Candle,"Candle, procure",TRUE,Size,10oz,,,,,0110SB-001,907.18474,shopify,continue,manual,30,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0896/7244/products/NTP8319.jpg?v=1571437789,1,,FALSE,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0896/7244/products/sir_candle_8oz.jpg?v=1571437789,lb,,,,,active
$12.00,12,Home Fragrance / Candles,,,,,big-sir-candle,,,,,,,,,6oz,,,,,0106SB-0001,907.18474,shopify,continue,manual,24,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0896/7244/products/sir_candle_5oz.jpg?v=1571437789,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0896/7244/products/sir_candle_5oz.jpg?v=1571437789,lb,,,,,
,,,,,,,big-sir-candle,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0896/7244/products/sir_box_5oz.jpg?v=1571437789,3,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,big-sir-candle,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0896/7244/products/sir_candlebox_5oz.jpg?v=1571437789,4,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,big-sir-candle,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0896/7244/products/sir_candle_8oz.jpg?v=1571437789,5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,big-sir-candle,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0896/7244/products/sir_box_80z.jpg?v=1571437789,6,,,,,,,,,,,,,,,,,,,,,,,,
$15.00,12,Home Fragrance / Candles,Please Select,Please Select,,,mojave-dessert-candle,Mojave Dessert Candle,"<p>Alluring desert nights marry earthy notes of cedarwood and patchouli with a hint of sweet jasmine. It’s a spicy mirage with warm wisps of amber noir.</p>
<p> </p>
<p>Notes of Patchouli, Amber &amp; Cedar</p>",MADE by DWC,,Candle,"Candle, procure",TRUE,Size,10oz,,,,,0110MD-0002,907.18474,shopify,continue,manual,30,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0896/7244/products/moj_candlebox.jpg?v=1568238498,1,,FALSE,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0896/7244/products/mojave_candle_8oz.jpg?v=1568238498,lb,,,,,active
$12.00,12,Home Fragrance / Candles,,,,,mojave-dessert-candle,,,,,,,,,6oz,,,,,0106MD-0002,907.18474,shopify,continue,manual,24,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0896/7244/products/mojave_candle_8oz.jpg?v=1568238498,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0896/7244/products/mojave_candlebox_5oz.jpg?v=1568238498,lb,,,,,
,,,,,,,mojave-dessert-candle,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0896/7244/products/moj_box_8oz.jpg?v=1568238498,3,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,mojave-dessert-candle,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0896/7244/products/mojave_candlebox_5oz.jpg?v=1568238498,4,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,mojave-dessert-candle,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0896/7244/products/mojave_candle_5oz.jpg?v=1568238498,5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,mojave-dessert-candle,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0896/7244/products/mojave_box_5oz.jpg?v=1568238498,6,,,,,,,,,,,,,,,,,,,,,,,,
$15.00,12,Home Fragrance / Candles,Please Select,Please Select,,,joshua-tea-candle,Joshua Tea Candle,"<p>Sun-dried Earl Grey tea leaves fill the air with a tinge of ripened citrus and notes of bergamot. It’s a refreshing reprieve, like finding soothing shade in the hot desert sun.</p>
<p>Notes of Black Tea, Orange &amp; Bergamot</p>",MADE by DWC,,Candle,"Candle, procure",TRUE,Size,10oz,,,,,0110JT-0003,907.18474,shopify,continue,manual,30,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0896/7244/products/NTP8321.jpg?v=1571437747,1,,FALSE,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0896/7244/products/joshua_candle_8oz.jpg?v=1571437747,lb,,,,,active
$12.00,12,Home Fragrance / Candles,,,,,joshua-tea-candle,,,,,,,,,6oz,,,,,0106JT-0003,907.18474,shopify,continue,manual,24,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0896/7244/products/joshua_candle_8oz.jpg?v=1571437747,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0896/7244/products/joshua_candle_5oz.jpg?v=1571437747,lb,,,,,
,,,,,,,joshua-tea-candle,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0896/7244/products/joshua_tea_8ozbox.jpg?v=1571437747,3,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,joshua-tea-candle,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0896/7244/products/joshua_candlebox_5oz.jpg?v=1571437747,4,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,joshua-tea-candle,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0896/7244/products/joshua_candle_5oz.jpg?v=1571437747,5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,joshua-tea-candle,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0896/7244/products/joshua_box_5oz.jpg?v=1571437747,6,,,,,,,,,,,,,,,,,,,,,,,,
$15.00,12,Home Fragrance / Candles,Please Select,Please Select,,,nap-valley-candle,Nap Valley Candle,"<p>Delicate and airy linen sheets drying in a cool wine country breeze. Clean, and crisp, it’s reminiscent of a fresh open valley. </p>
<p>Notes of Thyme, Violet &amp; Seaberry</p>",MADE by DWC,,Candle,"Candle, procure",TRUE,Size,10oz,,,,,0110NV-0004,907.18474,shopify,continue,manual,30,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0896/7244/products/nap_candlebox_8oz.jpg?v=1568157008,1,,FALSE,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0896/7244/products/nap_candle_8oz.jpg?v=1568157008,lb,,,,,active
$12.00,12,Home Fragrance / Candles,,,,,nap-valley-candle,,,,,,,,,6oz,,,,,0106NV-0004,907.18474,shopify,continue,manual,24,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0896/7244/products/nap_candle_8oz.jpg?v=1568157008,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0896/7244/products/nap_candle_5oz.jpg?v=1568157008,lb,,,,,
,,,,,,,nap-valley-candle,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0896/7244/products/nap_box_8oz.jpg?v=1568157008,3,,,,,,,,,,,,,,,,,,,,,,,,
