Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / Canada,Compare At Price / Canada,Status
denise-tote,Denise Tote,"<meta charset=""utf-8"">
<p>This mixed media tote is made from upcycled fabric in a beautiful cheetah print pattern that is paired with UltraFabric's premium vinyl. The interior liner is made from a upcycled material. </p>
<p>This tote has an option of coming with a matching cheetah print fabric keychain! Go out on the town in style with your matching accessories. </p>
<p>Handcrafted by a woman in recovery in Hudson Valley, NY, this tote gives possibilities for her to sustain her sobriety. </p>
<p><strong>Details:</strong></p>
<ul>
<li>100% upcycled fabrics</li>
<li>Dimensions: 15"" x 5"" x 13""</li>
<li>Three internal sidewall pockets</li>
<li>Liner: Pink fabric</li>
<li>Gold-tone hardware</li>
</ul>
<br>
<p style=""text-align: center;""><em>Handcrafted by a woman winning her battle against addiction. <br>#createpossibilities</em></p>",Unshattered,,Tote,"2022 Fall Collection, Cheetah Print, Color_Multicolor, Fall Tote, lois, Price_$100 - $150, shoulder, Size_Medium, Style_Tote, Sustainable Material_Leather Free, Sustainable Material_Vinyl, tiffany, Tote",false,Title,Default Title,,,,,"",1360.77711,shopify,deny,manual,129.00,,true,true,"",https://cdn.shopify.com/s/files/1/2608/1584/products/Deniseedted.png?v=1665412508,1,Denise Tote,false,,,,,,,,,,,,,,,,,lb,,,,,draft
denise-tote,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2608/1584/products/DeniseInteriorShotedited.png?v=1665412487,2,Denise Interior Shot,,,,,,,,,,,,,,,,,,,,,,,
richard,Richard,"<meta charset=""utf-8""><meta charset=""utf-8"">
<p><span>This adjustable strap oversized messenger can carry you through both the daily grind and a weekend getaway. </span>Made from upcycled fabrics including Ultrafabric's vinyl, it is durable, beautiful, and practical. You’ll love having a unique bag for work and play that you know makes a difference in someone’s life! </p>
<h4>Details:</h4>
<ul>
<li>Dimensions: 16"" x 12"" x 3""</li>
<li>Three internal sidewall pockets</li>
<li>Adjustable strap</li>
<li>
<span>Gold </span>strap slides</li>
<li>Magnetic clasps</li>
</ul>
<p> </p>
<p style=""text-align: center;""><em>Handcrafted by a woman winning her battle against addiction and named in honor of someone who's still fighting.<br>#carrysomethingthatmatters</em></p>",Unshattered,,Large Messenger,"brown vinyl, large, Lois, Messenger, paisley fabric, Price_$150 - $200, Savana, Size_Large, Style_Messenger, Sustainable Material_Leather Free, Sustainable Material_Vinyl, sustainablefashion, Tan Fabric, travel",false,Title,Default Title,,,,,"",1814.36948,shopify,continue,manual,165.00,,true,true,'13652285,https://cdn.shopify.com/s/files/1/2608/1584/products/Misc.FallBags-1564edited.png?v=1663946551,1,Richard Messenger,false,,,,,,,,,,,,,,,,,lb,,,,,draft
richard,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2608/1584/products/Misc.FallBags-1567edited.png?v=1663946565,2,Richard Messenger Backview,,,,,,,,,,,,,,,,,,,,,,,
richard,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2608/1584/products/Misc.FallBags-1572edited1.png?v=1663946577,3,Richard Interior shot,,,,,,,,,,,,,,,,,,,,,,,
douglas-messenger,Douglas Messenger,"<meta charset=""utf-8""><meta charset=""utf-8"">
<p><span>This adjustable strap oversized messenger can carry you through both the daily grind and a weekend getaway. </span>Made from upcycled fabrics including Ultrafabric's vinyl, it is durable, beautiful, and practical. You’ll love having a unique bag for work and play that you know makes a difference in someone’s life! </p>
<h4>Details:</h4>
<ul>
<li>Dimensions: 16"" x 12"" x 3""</li>
<li>Three internal sidewall pockets</li>
<li>Adjustable strap</li>
<li>
<span>Gold </span>strap slides</li>
<li>Magnetic clasps</li>
</ul>
<p> </p>
<p style=""text-align: center;""><em>Handcrafted by a woman winning her battle against addiction and named in honor of someone who's still fighting.<br>#carrysomethingthatmatters</em></p>",Unshattered,,Large Messenger,"2022 Fall Collection, large, Lois, Messenger, patterned, Price_$150 - $200, Size_Large, Style_Messenger, Sustainable Material_Leather Free, Sustainable Material_Vinyl, sustainablefashion, tiffany, travel",false,Title,Default Title,,,,,2022FAllCollection,1814.36948,shopify,continue,manual,165.00,,true,true,'11915581,https://cdn.shopify.com/s/files/1/2608/1584/products/Misc.FallBags-1548edited.png?v=1663945658,1,Douglas Messenger ,false,,,,,,,,,,,,,,,,,lb,,,,,draft
douglas-messenger,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2608/1584/products/Misc.FallBags-1553edited.png?v=1663945669,2,Douglas Interior Shot,,,,,,,,,,,,,,,,,,,,,,,
alyssa-toiletry-kit,Alyssa Toiletry Kit,"<meta charset=""utf-8"">
<p><span>This lovely toiletry kit is perfect for every day or just for travel! It is made from upcycled upholstery fabric and manufacturing scraps and lined with a wipe-clean, durable vinyl. </span></p>
<h4>Details:</h4>
<ul>
<li>100% upcycled fabrics</li>
<li>Liner: Carmel  Vinyl</li>
<li>Gold-tone hardware</li>
<li>Dimensions: 11 x 5 x 5</li>
<li>Wipe-clean vinyl interior</li>
<li>Zip closure</li>
</ul>
<br>
<div style=""text-align: center;""></div>
<div style=""text-align: center;""><em>Handcrafted by a woman winning her battle against addiction and named in honor of someone who's still fighting. <br>#createpossibilities</em></div>",Unshattered,,Toiletry Kit,"Fall 2022Collection, Gray Fabric, jillian, lois, Price_$0 - $100, Size_Small, Style_Toiletry Kit, Sustainable Material_Vinyl, Tan and Black Geometric Pattern Fabric, textured, toiletry, travel",false,Title,Default Title,,,,,"",453.59237,shopify,deny,manual,68.00,,true,true,'10572093,https://cdn.shopify.com/s/files/1/2608/1584/products/Misc.FallBags-1532edited.png?v=1663945443,1,Alyssa Toiletry Kit,false,,,,,,,,,,,,,,,,,lb,,,,,draft
alyssa-toiletry-kit,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2608/1584/products/Misc.FallBags-1543edited.png?v=1663945452,2,Alyssa Interior Shot,,,,,,,,,,,,,,,,,,,,,,,
vince-toiletry-kit,Vince Toiletry Kit,"<meta charset=""utf-8"">
<p><span>This lovely toiletry kit is perfect for every day or just for travel! It is made from upcycled upholstery fabric and manufacturing scraps and lined with a wipe-clean, durable vinyl. </span></p>
<h4>Details:</h4>
<ul>
<li>100% upcycled fabrics</li>
<li>Liner: Cream Vinyl</li>
<li>Gold-tone hardware</li>
<li>Dimensions: 11 x 5 x 5</li>
<li>Wipe-clean vinyl interior</li>
<li>Zip closure</li>
</ul>
<br>
<div style=""text-align: center;""></div>
<div style=""text-align: center;""><em>Handcrafted by a woman winning her battle against addiction and named in honor of someone who's still fighting. <br>#createpossibilities</em></div>",Unshattered,,Toiletry Kit,"Cream Vinyl, fall, Fall 2022Collection, Gray Fabric, Jenn, lois, Price_$0 - $100, Size_Small, Style_Toiletry Kit, Sustainable Material_Vinyl, textured, toiletry, travel",false,Title,Julia - Light Green Vinyl,,,,,,453.59237,shopify,deny,manual,68.00,,true,true,'09851197,https://cdn.shopify.com/s/files/1/2608/1584/products/Misc.FallBags-1524edited.png?v=1663945255,1,Vince Toiletry Kit,false,,,,,,,,,,,,,,,,,lb,,,,,draft
vince-toiletry-kit,,,,,,,,,Tymira - Brown Vinyl,,,,,,453.59237,shopify,deny,manual,68.00,,true,true,'09883965,https://cdn.shopify.com/s/files/1/2608/1584/products/Misc.FallBags-1529edited.png?v=1663945262,2,Vince Interior Shot,,,,,,,,,,,,,,,,,,lb,,,,,
rick-toiletry-kit,Rick Toiletry Kit,"<meta charset=""utf-8"">
<p><span>This lovely toiletry kit is perfect for every day or just for travel! It is made from upcycled upholstery fabric and manufacturing scraps and lined with a wipe-clean, durable vinyl. </span></p>
<h4>Details:</h4>
<ul>
<li>100% upcycled fabrics</li>
<li>Liner: Cream Vinyl</li>
<li>Gold-tone hardware</li>
<li>Dimensions: 11 x 5 x 5</li>
<li>Wipe-clean vinyl interior</li>
<li>Zip closure</li>
</ul>
<br>
<div style=""text-align: center;""></div>
<div style=""text-align: center;""><em>Handcrafted by a woman winning her battle against addiction and named in honor of someone who's still fighting. <br>#createpossibilities</em></div>",Unshattered,,Toiletry Kit,"Brown and Tan Fabric, Color_Multicolor, Cream Vinyl, fall, Fall 2022Collection, Jenn, lois, Makeup, Multi Color Squares, Price_$0 - $100, Size_Small, Style_Toiletry Kit, Sustainable Material_Vinyl, textured, toiletry, travel",false,Title,Julia - Light Green Vinyl,,,,,,453.59237,shopify,deny,manual,68.00,,true,true,'06672701,https://cdn.shopify.com/s/files/1/2608/1584/products/Misc.FallBags-1516edited.png?v=1663945073,1,Rick Toiletry Kit,false,,,,,,,,,,,,,,,,,lb,,,,,draft
rick-toiletry-kit,,,,,,,,,Tymira - Brown Vinyl,,,,,,453.59237,shopify,deny,manual,68.00,,true,true,'06705469,https://cdn.shopify.com/s/files/1/2608/1584/products/Misc.FallBags-1521edited.png?v=1663945096,2,Rick Interior Shot,,,,,,,,,,,,,,,,,,lb,,,,,
julia-toiletry-kit-1,Julia Toiletry Kit,"<meta charset=""utf-8"">
<p><span>This lovely toiletry kit is perfect for every day or just for travel! It is made from upcycled upholstery fabric and manufacturing scraps and lined with a wipe-clean, durable vinyl. </span></p>
<h4>Details:</h4>
<ul>
<li>100% upcycled fabrics</li>
<li>Liner: Your choice of brown or green</li>
<li>Gold-tone hardware</li>
<li>Dimensions: 11 x 5 x 5</li>
<li>Wipe-clean vinyl interior</li>
<li>Zip closure</li>
</ul>
<br>
<div style=""text-align: center;""></div>
<div style=""text-align: center;""><em>Handcrafted by a woman winning her battle against addiction and named in honor of someone who's still fighting. <br>#createpossibilities</em></div>",Unshattered,,Toiletry Kit,"Brown Fabric, Color_Multicolor, fall, Fall 2022Collection, Jenn, lois, Makeup, Multi Color Squares, Price_$0 - $100, Size_Small, Style_Toiletry Kit, Sustainable Material_Vinyl, textured, toiletry, travel",false,Interior,Julia - Light Green Vinyl,,,,,"",453.59237,shopify,deny,manual,68.00,,true,true,'97858109,https://cdn.shopify.com/s/files/1/2608/1584/products/Misc.FallBags-1481edited.png?v=1663943787,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2608/1584/products/Misc.FallBags-1496.png?v=1663943793,lb,,,,,draft
julia-toiletry-kit-1,,,,,,,,,Tymira - Brown Vinyl,,,,,"",453.59237,shopify,deny,manual,68.00,,true,true,'97890877,https://cdn.shopify.com/s/files/1/2608/1584/products/Misc.FallBags-1496.png?v=1663943793,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2608/1584/products/Misc.FallBags-1498.png?v=1663944768,lb,,,,,
julia-toiletry-kit-1,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2608/1584/products/Misc.FallBags-1501edited.png?v=1663944756,3,Tymira Toiletry Kit,,,,,,,,,,,,,,,,,,,,,,,
julia-toiletry-kit-1,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2608/1584/products/Misc.FallBags-1498.png?v=1663944768,4,Tymira Interior Shot,,,,,,,,,,,,,,,,,,,,,,,
elaine-toiletry-kit,Elaine Toiletry Kit,"<meta charset=""utf-8"">
<p><span>This lovely toiletry kit is perfect for every day or just for travel! It is made from upcycled upholstery fabric and manufacturing scraps and lined with a wipe-clean, durable vinyl. </span></p>
<h4>Details:</h4>
<ul>
<li>100% upcycled fabrics</li>
<li>Liner: complimentary brown-colored vinyl</li>
<li>Gold-tone hardware</li>
<li>Dimensions: 11 x 5 x 5</li>
<li>Wipe-clean vinyl interior</li>
<li>Zip closure</li>
</ul>
<br>
<div style=""text-align: center;""></div>
<div style=""text-align: center;""><em>Handcrafted by a woman winning her battle against addiction and named in honor of someone who's still fighting. <br>#carrysomethingthatmatters</em></div>",Unshattered,,Toiletry Kit,"Color_Multicolor, cream, fall, Fall 2022Collection, lois, Makeup, Neutral Striped Fabric, Price_$0 - $100, Size_Small, Style_Toiletry Kit, Sustainable Material_Vinyl, textured, toiletry, travel",false,Title,Default Title,,,,,"",453.59237,shopify,deny,manual,68.00,,true,true,'90190397,https://cdn.shopify.com/s/files/1/2608/1584/products/Misc.FallBags-1477edited.png?v=1663943705,1,Elaine Toiletry Kit,false,,,,,,,,,,,,,,,,,lb,,,,,draft
elaine-toiletry-kit,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2608/1584/products/Misc.FallBags-1479.jpg?v=1663943720,2,Elaine Interior Shot,,,,,,,,,,,,,,,,,,,,,,,
pita-toiletry-kit,Pita Toiletry Kit,"<meta charset=""utf-8"">
<p><span>This lovely toiletry kit is perfect for every day or just for travel! It is made from upcycled upholstery fabric and manufacturing scraps and lined with a wipe-clean, durable vinyl. </span></p>
<h4>Details:</h4>
<ul>
<li>100% upcycled fabrics</li>
<li>Liner: complimentary brown-colored vinyl</li>
<li>Gold-tone hardware</li>
<li>Dimensions: 11 x 5 x 5</li>
<li>Wipe-clean vinyl interior</li>
<li>Zip closure</li>
</ul>
<br>
<div style=""text-align: center;""></div>
<div style=""text-align: center;""><em>Handcrafted by a woman winning her battle against addiction and named in honor of someone who's still fighting. <br>#carrysomethingthatmatters</em></div>",Unshattered,,Toiletry Kit,"brown, Color_Multicolor, cream, fall, Fall 2022Collection, fall2021, green, lois, Makeup, Price_$0 - $100, Size_Small, Style_Toiletry Kit, Sustainable Material_Vinyl, textured, toiletry, travel",false,Title,Default Title,,,,,"",453.59237,shopify,deny,manual,68.00,,true,true,'82620989,https://cdn.shopify.com/s/files/1/2608/1584/products/Misc.FallBags-1452edited.png?v=1663943217,1,Pita Toiletry Kit,false,,,,,,,,,,,,,,,,,lb,,,,,draft
pita-toiletry-kit,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2608/1584/products/Misc.FallBags-1466edited.png?v=1663943227,2,Pita Interior Shot,,,,,,,,,,,,,,,,,,,,,,,
annie-makeup-kit,Annie Makeup Kit,"<p>This makeup kit has a wipe-clean vinyl interior that makes any makeup spills easy to clean up without ruining it! Large enough to hold your go-to makeup kit so that you are prepared wherever you travel.  Featured here in beautiful autumn colors, this makeup kit is gorgeous and durable. </p>
<p>Handcrafted by our team of women artisans in recovery from manufacturing remnant fabric. When you purchase you create possibilities for women to thrive in their sobriety.<br></p>
<h4></h4>
<p><strong>Details</strong></p>
<ul>
<li>100% upcycled fabrics and vinyl</li>
<li>Dimensions: <span data-mce-fragment=""1"">11.5"" x 4.5"" x 6.5""</span>
</li>
<li>Liner: Green-colored vinyl</li>
<li>Wipe-clean interior</li>
<li>Gold-tone hardware</li>
<li>Zip closure</li>
</ul>
<p style=""text-align: center;""> </p>
<p style=""text-align: center;""><em>Each Unshattered bag is created by a woman winning her battle against addiction. <br></em><em>100% of your purchase provides employment and job skills training for women in recovery!</em><br><em> #createpossibilities</em></p>",Unshattered,,Makeup Kit,"2022 Fall Collection, jenn, lois, Makeup, Price_$0 - $100, September2022, Size_Small, small, spring, Style_Makeup Kit, Sustainable Material_Leather Free, Sustainable Material_Vinyl, travel, zip",true,Title,Default Title,,,,,2022FAllCollection,453.59237,shopify,deny,manual,38.00,,true,true,'25572925,https://cdn.shopify.com/s/files/1/2608/1584/products/Misc.FallBags-1386.png?v=1663938814,1,,false,,,,,,,,,,,,,,,,,lb,,,,,active
annie-makeup-kit,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2608/1584/products/Misc.FallBags-1389.png?v=1663938867,2,,,,,,,,,,,,,,,,,,,,,,,,
